[[0.3735732, 0.14377894, -0.96088487, -0.7039376, 1.0626289, 0.16450235, 0.0, 0.0], [1, 0, 0], -77.78521888149778]
[[0.3631857, 0.12784912, -1.0424005, -0.7124051, 1.070087, 0.14916152, 0.0, 0.0], [1, 0, 0], -84.44941428417735]
[[0.3524913, 0.11184627, -1.073398, -0.71610767, 1.0782883, 0.16402647, 0.0, 0.0], [1, 0, 0], -86.82361145639611]
[[0.34093922, 0.09568635, -1.1587931, -0.72270703, 1.0858176, 0.15058586, 0.0, 0.0], [1, 0, 0], -93.841008193796]
[[0.32888478, 0.07936307, -1.2090251, -0.7300518, 1.0934544, 0.1527352, 0.0, 0.0], [1, 0, 0], -97.99150812743018]
[[0.31600922, 0.06287178, -1.2908272, -0.7371956, 1.1005298, 0.14150903, 0.0, 0.0], [1, 0, 0], -104.80271695792635]
[[0.3025484, 0.046420034, -1.3495442, -0.7357761, 1.1081357, 0.1521178, 0.0, 1.0], [1, 0, 0], -99.31025104252898]
[[0.28972873, 0.040988598, -1.3289118, -0.33000427, 1.2307642, 2.3966892, 0.0, 1.0], [1, 0, 0], -93.74423624663743]
[[0.2759591, 0.036451947, -1.4146785, -0.29345265, 1.3693665, 2.7677727, 0.0, 1.0], [1, 0, 0], -114.03078816912877]
[[0.26121798, 0.03165737, -1.4936044, -0.3055905, 1.5077295, 2.767287, 0.0, 1.0], [1, 0, 0], -134.6195775493777]
[[0.24533577, 0.026187453, -1.5886909, -0.33571896, 1.6453531, 2.7521572, 0.0, 0.0], [1, 0, 0], -166.9648883901442]
[[0.22853366, 0.01999019, -1.6613781, -0.36732116, 1.7827188, 2.747337, 0.0, 0.0], [1, 0, 0], -187.04161535649024]
[[0.21089134, 0.013196979, -1.726482, -0.39163935, 1.9207398, 2.760446, 0.0, 0.0], [1, 0, 0], -206.2179822818926]
---
[[-0.0123643875, 1.4088851, -0.6195758, -0.036289092, 0.014974168, 0.15459265, 0.0, 0.0], [1, 0, 0], 0.0]
[[-0.018673992, 1.4086648, -0.6378924, -0.009873673, 0.021834513, 0.13721989, 0.0, 0.0], [1, 0, 0], -2.704079266350578]
[[-0.02482605, 1.4084901, -0.6229604, -0.007904379, 0.029495353, 0.15323098, 0.0, 0.0], [1, 0, 0], -2.2663502344070476]
[[-0.031035328, 1.409083, -0.6285293, 0.026186595, 0.037009645, 0.1502999, 0.0, 0.0], [1, 0, 0], -3.995776658769011]
[[-0.037445545, 1.4101294, -0.64776677, 0.046325203, 0.043688614, 0.133592, 0.0, 0.0], [1, 0, 0], -7.118507000219932]
[[-0.044001006, 1.4117026, -0.66175455, 0.069729485, 0.049831368, 0.12286629, 0.0, 0.0], [1, 0, 0], -9.808656408912896]
[[-0.05072584, 1.4141463, -0.678109, 0.10840954, 0.05540012, 0.111385286, 0.0, 0.0], [1, 0, 0], -13.062473726651849]
[[-0.057314206, 1.4167082, -0.665244, 0.11361472, 0.061742876, 0.12686679, 0.0, 0.0], [1, 0, 0], -13.093495584557054]
[[-0.06376247, 1.4195917, -0.652079, 0.12783702, 0.06892859, 0.14372756, 0.0, 0.0], [0, 0, 0], -13.389207383268396]
[[-0.07021093, 1.4218756, -0.65209895, 0.1011597, 0.07611284, 0.14369765, 0.0, 0.0], [0, 0, 0], -13.906840763521753]
[[-0.076659776, 1.4235604, -0.6521195, 0.07449004, 0.083296284, 0.14368203, 0.0, 0.0], [0, 0, 0], -14.472814486908018]
[[-0.083108805, 1.4246457, -0.6521398, 0.04781686, 0.0904786, 0.1436597, 0.0, 0.0], [0, 0, 0], -15.088560229501947]
[[-0.08955803, 1.4251318, -0.65216005, 0.02114343, 0.09765981, 0.14363739, 0.0, 0.0], [0, 0, 0], -15.755427936918718]
[[-0.09600754, 1.4250182, -0.65218014, -0.005530213, 0.10483991, 0.14361493, 0.0, 0.0], [0, 0, 0], -16.474097857525006]
[[-0.10245733, 1.4243052, -0.6522001, -0.032204017, 0.11201889, 0.14359267, 0.0, 0.0], [0, 0, 0], -17.244800260289164]
[[-0.10890742, 1.4229928, -0.65222, -0.058877967, 0.11919676, 0.14357048, 0.0, 0.0], [0, 0, 0], -18.067206869210505]
[[-0.11535768, 1.4210813, -0.65223974, -0.08555206, 0.12637351, 0.14354838, 0.0, 0.0], [0, 0, 0], -18.940464517308154]
[[-0.121808246, 1.4185702, -0.65225935, -0.11222633, 0.13354918, 0.14352638, 0.0, 0.0], [0, 0, 0], -19.863182325320334]
[[-0.1282591, 1.4154596, -0.6522788, -0.1389007, 0.14072376, 0.14350441, 0.0, 0.0], [0, 0, 0], -20.833537779414538]
[[-0.13471022, 1.4117496, -0.6522981, -0.16557524, 0.14789723, 0.14348254, 0.0, 0.0], [0, 0, 0], -21.84925480458355]
[[-0.14116164, 1.4074403, -0.65231735, -0.19224994, 0.1550696, 0.14346072, 0.0, 0.0], [0, 0, 0], -22.907736429163887]
[[-0.14761333, 1.4025316, -0.65233636, -0.21892482, 0.16224091, 0.14343902, 0.0, 0.0], [0, 0, 0], -24.006013573169636]
[[-0.15406533, 1.3970233, -0.6523552, -0.24559985, 0.16941112, 0.14341742, 0.0, 0.0], [0, 0, 0], -25.140851467492208]
[[-0.1605176, 1.3909159, -0.6523739, -0.27227506, 0.17658028, 0.14339593, 0.0, 0.0], [0, 0, 0], -26.30891661028647]
[[-0.16696748, 1.3841879, -0.6521381, -0.29988906, 0.18374917, 0.14337775, 0.0, 0.0], [0, 0, 1], -27.52063644399561]
[[-0.17334834, 1.3768911, -0.6433956, -0.3249664, 0.18908668, 0.10675057, 0.0, 0.0], [0, 0, 1], -27.740176050612742]
